[7l----system---- ----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system-- -most-expensive- --most-expensive- ------memory-usage----- --io/total-
     time     |usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw |  cpu process   |  memory process | used  buff  cach  free| read  writ
03-12 10:10:27| 10   7  83   0   0   0| 104k 8602B|4197B   20B|   0     0 |1250    19k|gnome-shell   12|java        1202M|5854M 7396k  418M 1653M|13.4  0.40 
03-12 10:10:37| 10   7  81   3   0   0|1193k  108k|3719B   20B|   0     0 |1599    20k|gnome-shell   11|java        1202M|5850M 12.2M  426M 1646M| 178  6.20 
03-12 10:10:47| 10   7  81   1   0   0| 645k   57k|3913B   17B|   0     0 |1533    20k|gnome-shell   12|java        1202M|5852M 14.4M  430M 1637M|72.3  1.50 
03-12 10:10:57| 10   7  82   1   0   0| 249k   32k|3980B   17B|   0     0 |1438    20k|gnome-shell   11|java        1202M|5853M 16.3M  431M 1632M|48.7  2.80 
03-12 10:11:07| 10   7  83   1   0   0|  98k  100k|3052B  102B|   0     0 |1362    19k|gnome-shell   11|java        1202M|5860M 16.9M  432M 1625M|19.7  2.50 
03-12 10:11:17| 11   7  81   1   0   0|  78k   68k|3562B   36B|   0     0 |1513    20k|gnome-shell   12|java        1202M|5871M 17.2M  433M 1612M|14.4  6.00 
03-12 10:11:27| 11   8  81   0   0   0|  14k   14k|3851B   29B|   0     0 |1617    21k|gnome-shell   12|java        1202M|5891M 17.4M  435M 1590M|3.40  0.70 
03-12 10:11:37| 10   7  82   1   0   0| 199k  120k|2994B   11B|   0     0 |1405    19k|gnome-shell   11|java        1202M|5873M 19.0M  435M 1606M|37.1  4.30 
03-12 10:11:47| 12   8  80   0   0   0|   0    58k|3659B    5B|   0     0 |1436    20k|gnome-shell   11|java        1202M|5864M 19.0M  436M 1614M|   0  9.80 
03-12 10:11:57| 13   9  78   0   0   0|  46k   45k|2441B    0 |   0     0 |1714    21k|gnome-shell   12|java        1202M|5873M 19.1M  437M 1604M|3.80  3.90 
03-12 10:12:07| 11   7  81   0   0   0|1638B   86k|3883B   70B|   0     0 |1325    19k|gnome-shell   12|java        1202M|5871M 19.1M  437M 1605M|0.40  0.70 
03-12 10:12:17| 13   8  77   2   0   0| 849k   30k|2806B    0 |   0     0 |1985    21k|gnome-shell   12|java        1202M|4978M 19.3M  359M 2577M|42.0  2.10 
03-12 10:12:27| 10   7  83   0   0   0|1229B   44k|3795B  365B|   0     0 |1482    19k|gnome-shell   12|java        1202M|4977M 19.3M  359M 2577M|0.30  7.30 
03-12 10:12:37| 10   7  82   1   0   0| 264k  101k|4891B    7B|   0     0 |1448    19k|gnome-shell   12|java        1202M|4974M 20.7M  361M 2578M|20.4  1.20 
03-12 10:12:47| 10   7  83   0   0   0|  36k   66k|2984B    0 |   0     0 |1385    19k|gnome-shell   12|java        1202M|4974M 20.8M  361M 2577M|4.50  1.00 
03-12 10:12:57|  9   7  83   0   0   0|  38k   30k|2784B   96B|   0     0 |1341    19k|gnome-shell   12|java        1202M|4976M 21.1M  361M 2575M|8.20  3.50 
03-12 10:13:07| 11   7  81   1   0   0| 245k  171k|2780B  501B|   0     0 |1486    20k|gnome-shell   12|java        1202M|4965M 21.8M  364M 2582M|23.3  3.80 
03-12 10:13:17| 10   7  82   1   0   0| 168k   34k|4037B    0 |   0     0 |1679    19k|gnome-shell   12|java        1202M|4765M 22.2M  349M 2797M|12.6  1.00 
03-12 10:13:27| 16   8  68   8   0   0|4099k   27k|3731B   55B|   0     0 |2079    20k|gnome-shell   12|java        1202M|5131M 32.5M  389M 2381M| 314  0.60 
03-12 10:13:37| 28   9  39  23   0   0|2686k  112k| 135k 7123B|   0     0 |5971    29k|gnome-shell   12|java        1202M|5402M 35.8M  437M 2057M| 214  1.90 
03-12 10:13:47| 10   7  82   0   0   0|  34k   90k|2914B    9B|   0     0 |1474    21k|gnome-shell   12|java        1202M|5407M 35.8M  441M 2050M|3.00  13.8 
03-12 10:13:57| 10   7  81   2   0   0| 513k   21k|2500B   45B|   0     0 |1355    19k|gnome-shell   12|java        1202M|5413M 39.6M  442M 2038M| 103  0.80 
03-12 10:14:07| 10   7  82   0   0   0| 410B  102k|2503B   39B|   0     0 |1234    19k|gnome-shell   12|java        1202M|5341M 39.6M  443M 2109M|0.10  1.50 
03-12 10:14:17| 10   8  82   0   0   0|  99k  112k|4111B    0 |   0     0 |1509    20k|gnome-shell   12|java        1202M|5352M 39.7M  448M 2093M|8.40  8.30 
03-12 10:14:27| 12   7  78   3   0   0|5159k  170k|  10k 1246B|   0     0 |1624    20k|gnome-shell   12|java        1202M|5380M 40.4M  497M 2015M|99.6  4.70 
03-12 10:14:37| 12   7  81   0   0   0|9421B  166k|  10k 1537B|   0     0 |1574    20k|gnome-shell   12|java        1202M|5335M 40.5M  497M 2061M|2.30  1.90 
03-12 10:14:47| 10   7  83   0   0   0|  43k  155k|5123B  376B|   0     0 |1235    20k|gnome-shell   12|java        1202M|5339M 40.6M  498M 2055M|1.30  3.80 
03-12 10:14:57| 12   7  80   1   0   0| 197k  394k|  74k 2750B|   0     0 |1427    20k|gnome-shell   12|java        1202M|5390M 40.9M  500M 2002M|14.0  12.9 
03-12 10:15:07|  9   7  76   8   0   0| 808k  483k|3035B   40B|   0     0 |1234    18k|gnome-shell   12|java        1202M|5370M  584k  340M 2222M|56.6  17.3 
03-12 10:15:17|  9   7  83   0   0   0|  99k   15k|3491B   40B|   0     0 |1144    18k|gnome-shell   12|java        1202M|5362M 1588k  341M 2229M|24.8  0.50 
03-12 10:15:27| 11   7  80   2   0   0| 384k  445k|4020B  363B|   0     0 |1289    20k|gnome-shell   12|java        1202M|5401M 4052k  344M 2184M|60.5  9.40 
03-12 10:15:37| 11   7  82   0   0   0|  12k  131k|2724B   72B|   0     0 |1225    19k|gnome-shell   12|java        1202M|5375M 4188k  345M 2209M|2.90  8.00 
03-12 10:15:47|  9   7  83   1   0   0| 557k   82k|2660B   38B|   0     0 |1112    18k|gnome-shell   11|java        1202M|5377M 5192k  349M 2201M|39.2  1.00 
03-12 10:15:57| 16   7  76   1   0   0| 887k  213k|2754B   80B|   0     0 |1469    20k|gnome-shell   11|java        1202M|5385M 5212k  358M 2184M|25.3  4.00 
03-12 10:16:07| 17   7  70   5   0   0|1034k  378k| 101k 4054B|   0     0 |1867    21k|gnome-shell   11|java        1202M|5481M 11.1M  364M 2077M| 135  7.90 
03-12 10:16:17| 12   7  80   1   0   0| 168k  208k|  20k 1987B|   0     0 |1509    20k|gnome-shell   12|java        1202M|5419M 11.5M  366M 2136M|10.0  4.30 
03-12 10:16:27| 13   7  80   1   0   0|  95k  333k|  24k   11k|   0     0 |1714    21k|gnome-shell   12|java        1202M|5391M 11.7M  367M 2163M|9.30  12.8 
03-12 10:16:37| 11   7  82   0   0   0|  15k  173k|  14k 2049B|   0     0 |1319    19k|gnome-shell   12|java        1202M|5350M 11.8M  368M 2204M|1.70  3.20 
03-12 10:16:47| 10   7  82   0   0   0|  23k  215k|2725B  289B|   0     0 |1412    19k|gnome-shell   11|java        1202M|5327M 11.8M  368M 2225M|1.10  2.80 
03-12 10:16:57| 10   7  83   0   0   0|1638B  207k|3434B  562B|   0     0 |1193    19k|gnome-shell   11|java        1202M|5327M 11.9M  369M 2225M|0.40  2.80 
03-12 10:17:07|  9   7  84   0   0   0|4915B   56k|2959B  435B|   0     0 |1121    19k|gnome-shell   12|java        1202M|5327M 11.9M  369M 2225M|0.90  9.20 
03-12 10:17:17| 10   7  83   0   0   0|   0   229k|2494B  116B|   0     0 |1176    19k|gnome-shell   12|java        1202M|5322M 11.9M  369M 2230M|   0  4.30 
03-12 10:17:27|  9   7  84   0   0   0|  14k  127k|2895B  179B|   0     0 |1141    19k|gnome-shell   12|java        1202M|5325M 12.1M  369M 2227M|3.40  3.00 
03-12 10:17:37|  9   7  84   0   0   0|   0  4506B|4179B  321B|   0     0 |1035    18k|gnome-shell   12|java        1202M|5321M 12.1M  370M 2230M|   0  0.40 
03-12 10:17:47| 10   7  82   1   0   0|  34k  305k|7403B 2356B|   0     0 |1250    19k|gnome-shell   11|java        1202M|5326M 12.3M  370M 2224M|4.90  6.60 
03-12 10:17:57|  9   7  84   0   0   0|   0   270k|4441B  254B|   0     0 |1139    18k|gnome-shell   11|java        1202M|5319M 12.3M  371M 2232M|   0  7.00 
03-12 10:18:07|  9   7  84   0   0   0| 410B 6963B|3226B  110B|   0     0 |1034    18k|gnome-shell   12|java        1202M|5328M 12.3M  371M 2222M|0.10  0.40 
03-12 10:18:17|  9   7  84   0   0   0|  15k 6554B|2482B   72B|   0     0 |1017    18k|gnome-shell   12|java        1202M|5332M 12.5M  371M 2218M|3.80  0.50 
03-12 10:18:27|  9   7  83   1   0   0| 588k  104k|5498B  399B|   0     0 |1063    18k|gnome-shell   12|java        1202M|5331M 12.5M  377M 2213M|10.7  0.80 
03-12 10:18:37|  9   7  84   0   0   0| 410B   28k|2749B  114B|   0     0 |1007    18k|gnome-shell   12|java        1202M|5333M 12.5M  378M 2210M|0.10  4.30 
03-12 10:18:47|  8   7  85   0   0   0|  13k  114k|2240B   88B|   0     0 |1007    18k|gnome-shell   11|java        1202M|5334M 12.7M  378M 2209M|3.20  3.90 
03-12 10:18:57|  8   7  85   0   0   0|   0  6963B|2861B   36B|   0     0 | 992    18k|gnome-shell   12|java        1202M|5337M 12.7M  378M 2205M|   0  0.40 
03-12 10:19:07|  9   7  84   0   0   0|   0  7373B|3799B  134B|   0     0 |1046    18k|gnome-shell   12|java        1202M|5345M 12.7M  378M 2198M|   0  0.40 
03-12 10:19:17| 11   7  82   0   0   0|  25k  108k|6705B 1407B|   0     0 |1252    19k|gnome-shell   11|java        1202M|5362M 12.9M  379M 2179M|4.40  3.60 
03-12 10:19:27| 19   8  73   1   0   0| 136k  429k|  19k 4575B|   0     0 |1912    23k|gnome-shell   11|java        1202M|5434M 13.7M  381M 2105M|20.9  10.7 
03-12 10:19:37| 10   7  83   0   0   0|  17k  158k|3984B  136B|   0     0 |1489    20k|gnome-shell   12|java        1202M|5391M 13.8M  381M 2147M|3.80  2.90 
03-12 10:19:47| 10   7  82   0   0   0|2458B  281k|5545B 1414B|   0     0 |1299    20k|gnome-shell   12|java        1202M|5401M 13.9M  381M 2138M|0.60  4.30 
03-12 10:19:57| 10   7  83   0   0   0| 819B  270k|4316B  424B|   0     0 |1203    20k|gnome-shell   11|java        1202M|5405M 13.9M  381M 2134M|0.20  11.0 
03-12 10:20:07| 10   7  78   5   0   0| 820k  372k|3807B 1435B|   0     0 |1341    19k|gnome-shell   11|java        1202M|5406M 2792k  342M 2183M|81.1  11.7 
03-12 10:20:17|  9   7  84   0   0   0| 128k   16k|3087B  281B|   0     0 |1151    18k|gnome-shell   11|java        1202M|5394M 4048k  342M 2193M|31.4  0.50 
03-12 10:20:27|  9   7  84   0   0   0| 255k   10k|3667B  345B|   0     0 |1053    18k|gnome-shell   12|java        1202M|5395M 4904k  344M 2190M|24.8  0.50 
03-12 10:20:37|  9   7  82   2   0   0| 727k  108k|3495B   92B|   0     0 |1255    19k|gnome-shell   12|java        1202M|5394M 9.91M  346M 2183M| 114  5.00 
03-12 10:20:47|  9   7  84   0   0   0| 309k   19k|2825B  102B|   0     0 |1024    18k|gnome-shell   12|java        1202M|5396M 10.2M  349M 2178M|19.1  1.20 
03-12 10:20:57|  9   7  84   0   0   0|  92k   91k|3480B  103B|   0     0 |1009    18k|gnome-shell   12|java        1202M|5397M 10.3M  350M 2175M|2.00  4.30 
03-12 10:21:07|  9   7  82   2   0   0| 660k 6963B|3105B   82B|   0     0 |1241    19k|gnome-shell   12|java        1202M|5403M 15.4M  352M 2163M| 142  0.40 
03-12 10:21:17| 11   7  80   2   0   0|1220k   12k|3683B  302B|   0     0 |1360    20k|gnome-shell   11|java        1202M|5421M 16.5M  364M 2131M|57.9  0.70 
03-12 10:21:27| 10   7  83   0   0   0|2048B   91k|3441B   44B|   0     0 |1146    19k|gnome-shell   12|java        1202M|5395M 16.6M  364M 2157M|0.30  0.80 
03-12 10:21:37|  9   7  83   0   0   0|2048B  112k|3482B   88B|   0     0 |1181    18k|gnome-shell   12|java        1202M|5393M 16.6M  365M 2158M|0.50  6.10 
