[7l----system---- ----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system-- -most-expensive- --most-expensive- ------memory-usage----- --io/total-
     time     |usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw |  cpu process   |  memory process | used  buff  cach  free| read  writ
03-12 10:15:51| 11   7  80   2   0   0|1444k  210k|2513B   65B|   0     0 |1322    20k|gnome-shell   11|java        1202M|5383M 5204k  358M 2187M|64.4  4.10 
03-12 10:16:01| 18   7  73   2   0   0| 303k  157k|7317B  835B|   0     0 |1540    21k|gnome-shell   12|java        1202M|5391M 7128k  360M 2174M|34.4  2.80 
03-12 10:16:11| 14   7  75   4   0   0| 731k  330k|  96k 3278B|   0     0 |1629    20k|gnome-shell   12|java        1202M|5498M 11.1M  364M 2060M| 100  7.40 
03-12 10:16:21| 13   7  79   1   0   0| 239k  206k|  25k 4656B|   0     0 |1766    21k|gnome-shell   12|java        1202M|5382M 11.5M  367M 2173M|13.3  3.50 
03-12 10:16:31| 11   7  81   0   0   0|  24k  257k|  20k 9342B|   0     0 |1438    20k|gnome-shell   12|java        1202M|5390M 11.7M  368M 2164M|6.00  11.8 
03-12 10:16:41| 12   7  81   0   0   0|  18k  364k|  13k 1872B|   0     0 |1498    20k|gnome-shell   11|java        1202M|5342M 11.8M  368M 2211M|2.00  5.50 
03-12 10:16:51| 10   7  83   0   0   0|  22k  112k|3249B  614B|   0     0 |1265    19k|gnome-shell   11|java        1202M|5327M 11.8M  369M 2225M|1.20  1.60 
03-12 10:17:01| 10   7  83   0   0   0|4915B  147k|2966B  222B|   0     0 |1191    19k|gnome-shell   12|java        1202M|5330M 11.9M  369M 2222M|0.90  10.3 
03-12 10:17:11| 10   7  83   0   0   0|   0   234k|2863B  399B|   0     0 |1147    19k|gnome-shell   12|java        1202M|5332M 11.9M  369M 2220M|   0  4.40 
03-12 10:17:21| 10   7  83   0   0   0|   0  5734B|2403B  137B|   0     0 |1152    19k|gnome-shell   12|java        1202M|5321M 11.9M  369M 2230M|   0  0.40 
03-12 10:17:31|  9   7  84   0   0   0|  14k  126k|3617B  293B|   0     0 |1085    19k|gnome-shell   12|java        1202M|5321M 12.1M  370M 2231M|3.40  3.00 
03-12 10:17:41| 10   7  83   1   0   0|  25k  192k|7833B 2373B|   0     0 |1160    19k|gnome-shell   11|java        1202M|5333M 12.3M  370M 2218M|4.40  4.60 
03-12 10:17:51| 10   7  83   0   0   0|8602B  117k|3762B  190B|   0     0 |1237    18k|gnome-shell   11|java        1202M|5323M 12.3M  370M 2227M|0.50  2.40 
03-12 10:18:01|  9   7  85   0   0   0| 410B  270k|4149B  189B|   0     0 |1020    18k|gnome-shell   11|java        1202M|5324M 12.3M  371M 2226M|0.10  7.00 
03-12 10:18:11|  9   7  84   0   0   0| 819B   10k|2846B  110B|   0     0 |1049    18k|gnome-shell   12|java        1202M|5328M 12.4M  371M 2222M|0.20  0.50 
03-12 10:18:21|  9   7  84   1   0   0| 594k 5325B|2649B   58B|   0     0 |1023    18k|gnome-shell   12|java        1202M|5330M 12.5M  377M 2214M|13.6  0.40 
03-12 10:18:31|  9   7  84   0   0   0|8192B  124k|5458B  455B|   0     0 |1049    18k|gnome-shell   12|java        1202M|5331M 12.5M  377M 2212M|0.70  4.50 
03-12 10:18:41|  9   7  84   0   0   0| 410B  115k|2250B   88B|   0     0 |1022    18k|gnome-shell   12|java        1202M|5333M 12.6M  378M 2210M|0.10  4.00 
03-12 10:18:51|  8   7  85   0   0   0|  13k 8602B|2499B   51B|   0     0 | 972    18k|gnome-shell   11|java        1202M|5334M 12.7M  378M 2208M|3.20  0.50 
03-12 10:19:01|  9   7  84   0   0   0|   0  4096B|3845B  123B|   0     0 |1018    18k|gnome-shell   12|java        1202M|5343M 12.7M  378M 2199M|   0  0.40 
03-12 10:19:11|  9   7  83   0   0   0|1638B   90k|4845B  848B|   0     0 |1118    19k|gnome-shell   12|java        1202M|5347M 12.7M  378M 2195M|0.40  0.90 
03-12 10:19:21| 15   8  77   1   0   0|  32k  303k|8804B 1229B|   0     0 |1607    21k|gnome-shell   11|java        1202M|5358M 12.9M  379M 2183M|4.80  8.80 
03-12 10:19:31| 15   7  77   1   0   0| 128k  247k|  16k 3968B|   0     0 |1742    22k|gnome-shell   12|java        1202M|5406M 13.7M  381M 2132M|20.1  6.90 
03-12 10:19:41| 10   7  83   0   0   0|  17k  139k|3189B  121B|   0     0 |1310    20k|gnome-shell   12|java        1202M|5390M 13.8M  381M 2149M|3.80  1.40 
03-12 10:19:51| 10   7  83   0   0   0|2458B  248k|5564B 1406B|   0     0 |1263    20k|gnome-shell   12|java        1202M|5398M 13.9M  381M 2140M|0.60  10.0 
03-12 10:20:01| 10   7  81   1   0   0| 151k  295k|5318B 1730B|   0     0 |1257    20k|gnome-shell   12|java        1202M|5416M 1500k  341M 2174M|17.6  5.40 
03-12 10:20:11|  9   7  79   4   0   0| 794k  311k|2803B  211B|   0     0 |1368    19k|gnome-shell   11|java        1202M|5402M 4040k  342M 2185M|94.7  11.3 
03-12 10:20:21|  9   7  84   0   0   0|3686B   11k|3307B  357B|   0     0 |1016    18k|gnome-shell   11|java        1202M|5394M 4056k  342M 2193M|0.40  0.40 
03-12 10:20:31|  9   7  83   1   0   0| 569k   13k|4182B  243B|   0     0 |1182    18k|gnome-shell   11|java        1202M|5391M 6748k  345M 2190M|60.7  0.50 
03-12 10:20:41|  9   7  83   1   0   0| 424k  110k|2710B   50B|   0     0 |1123    18k|gnome-shell   12|java        1202M|5393M 9.99M  346M 2184M|80.6  5.80 
03-12 10:20:51|  9   7  84   0   0   0| 390k   14k|3360B  110B|   0     0 |1030    18k|gnome-shell   12|java        1202M|5395M 10.3M  350M 2177M|18.9  0.40 
03-12 10:21:01|  9   7  83   1   0   0| 186k   91k|3138B  134B|   0     0 |1100    18k|gnome-shell   12|java        1202M|5397M 12.0M  351M 2173M|43.1  4.30 
03-12 10:21:11| 10   7  81   2   0   0| 780k 7373B|3799B  287B|   0     0 |1259    19k|gnome-shell   12|java        1202M|5413M 16.4M  354M 2150M| 131  0.60 
03-12 10:21:21| 11   7  81   1   0   0| 917k   21k|3554B   66B|   0     0 |1364    20k|gnome-shell   11|java        1202M|5396M 16.5M  364M 2156M|26.9  0.50 
03-12 10:21:31| 10   7  83   0   0   0|   0   177k|3006B   88B|   0     0 |1098    18k|gnome-shell   12|java        1202M|5396M 16.6M  365M 2155M|   0  6.10 
